"helpfulVotes","publishedDate","publishedPlatform","rating","text","title","tripType"
"0","2023-10-21","OTHER","5","Rewley House was very nice, very clean. Perfectly positioned for sightseeing all the regular sites. 

Unfortunately we visited on a Saturday when all the historic college buildings were closed to visitors but still beautiful from the outside. The botanic gardens were lovely too. ","Oxford","COUPLES"
"0","2023-10-05","OTHER","5","We took a tour here with Evan Evans and the minute we departed the coach we were struck with beautiful architecture at every turn.  Our guide gave us a walking tour through one of the sections only.  We could have used more time to explore this area and see if we could have taken a student-led tour that would get us into some of the buildings, such as the Bodleian Library and some of the filming locations for Harry Potter.  I suggest spending at least a half-day, and more likely a full day, to get a better experience. ","Beautiful architecture","COUPLES"
"2","2023-07-14","OTHER","5","I now know Oxford is a city because it has a Cathedral...and despite its size what a city and University it is.  Absolutely stunning architecture and history is one display with every city block, and I look forward to visiting again when I can spend a few days exploring.","Stunning University and City","FAMILY"
"1","2023-07-05","OTHER","5","It was a great learning experience at oxford.  Luckily for us we had a family friend who goes there so we got a great tour.  Also it was open day, like a college visiting day for all the colleges of oxford, so we had no problems getting in.  Even saw all the Harry Potter sites.  If not opening day, you would have to book a tour.  Lunch was great at Gloucester Green Square, a food market during the day.  And we found a good japanese restaurant Shin.  Only word of warning, the trains to from oxford and not all direct back to london, we got lost and circled back to oxford to get the direct train.  ","British view of university","FAMILY"
"1","2023-06-03","OTHER","1","I was hoping for a nice education, but all it was was a bunch of poshos braying and then ending up running the country. The limestone was tolerable I suppose.","Must try harder.","NONE"
"0","2023-05-12","MOBILE","1","A share punishment, a nightmare in a car. A great place to create a unabomber. Place that is out of touch with the rest of the country. A town run by people making first footsteps on a desert island.","Badly signposted","SOLO"
"1","2023-04-22","MOBILE","5","Oxford is a glorious, historic city with many, mainly ancient colleges spread around the beautiful centre.
It’s not a campus university, so it is not all located on one site. It is made up of many different buildings, including academic departments, colleges and halls, located around the centre of Oxford.
Many University buildings, such as gardens, libraries and museums, as well as many of the colleges, are open to visitors during the day, with various opening hours and fees.
I had a wonderful day in Oxford, a city I have visited many times before, wandering around the famous buildings and paying to take the tour of Christ Church College including its amazing Great Hall and Chapel, which also serves as the city’s Cathedral.","World-famous historic University.","SOLO"
"0","2023-04-17","OTHER","5","Oxford is of course extremely famous but it is also a very interesting university to visit and is in fact a huge tourist attraction because of both its fame and its many buildings and colleges.

Te university is intertwined with, and spread throughout, the urban fabric of Oxford.  Colleges, man of which include several buildings, are spread throughout the town and are, at certain times of the year, open to visit.  Other buildings to visit include the Bodleian Library, the University Church of St Mary and its tower, which visitors may climb, and Magdalene Tower.  Some places, like the iconic Radcliffe Camera are not open to the general public but may be seen from the outside.  There also also parks and recreation grounds and areas with footpaths along the River Cherwell.

Numerous locations in the university, such as the Radcliffe Camera and several colleges, appear frequently in the Morse-Lewis-Endeavour shows as well and one can look up which ones appeared in which episodes, or visit these on tours.  There is a lot to see and seeing even a significant portion would require several days.  That said, it is all basically walkable in central Oxford.

One should be prepared for the university to be very busy with visitors and when regular terms are not in session, there are often groups of visiting students and tour groups all over the place.","Magnificent and Interesting University","NONE"
"0","2023-04-13","MOBILE","5","We stopped by Oxford on our way up to Manchester. It is a gorgeous campus with some incredible architecture. Christ Church is popular and might sell out, however you can still walk around the exterior areas and enjoy the campus. Lots of places to eat or drink and there is a large mall called Westgate which is also the best place to park.","Gorgeous Campus","FAMILY"
"1","2023-02-17","OTHER","5","I am a diversity obsessed left-liberal, who sniffs out racism and sexism constantly. I was delighted to see rainbow flags flying merrily (gayly) from every university building, which made this fine place seem welcoming to a LGBTQiA visitor! 

The colleges are beautiful if drafty.

Where to start with this place? I read Women's Studies at Grimsby and have just applied to St Anne's to do a masters in Trans-authors. I have been accepted! So, get ready Oxford for a change! I'm easily recognisable - think Mr Tumble!","Excellent diversity after years of tradition","NONE"
"1","2023-01-07","MOBILE","4","Oxford University has multiple building to visit. All are very old but preserved well. You mostly have to park at the distance and have to walk a lot which is inconvenient. You can also use the public transport. We had visited Christ Church College which is usually open for the visitors.","You need to walk a lot","FAMILY"
"4","2022-12-29","OTHER","5","There is so much to do and see in Oxford.  However, for me, everything here starts and ends with the University.  You come to Oxford to see the University and the 39 separate colleges that comprise it.  Even things like the great museums and churches are here because of the University.  

This is the oldest college and university in the English speaking world and every other college and and university emulates it in some way.  In Oxford, England, they are very proud of their history as the place where cows could cross the Thames.  However, there are dozens of Oxford cities in the English speaking world and none are associated with cow crossings, but they all have colleges and students.  Visit any American university or college and you will find strong academic buildings on beautiful, lush quadrangles and where did they get these ideas, Oxford.

You can't be in Oxford, England and not see the colleges in some way.  With that said they do manifest themselves in the best way in a couple of locations.  An absolute MUST SEE in Oxford is Radcliffe Square where you will see the oldest buildings like the Bodleian library, the most amazing buildings like the Radcliffe Camera, the prettiest buildings like All Soul's College and the communal university center University Church St. Mary's.  I think a close second is Christ Church College where you can see so much in one college.  At either you will see the place where 30 English Prime Ministers attended, 73 Nobel Prize laureates have been and 110 Olympic medals were made.  You will see history where Kings have clashed, bishops were burned and some of the most important works of English literature were inspired.  

It is the reason you come to Oxford and it is MUST SEE.","The Reason You Go to Oxford and MUST SEE","NONE"
"0","2022-12-22","OTHER","5","Each college has its own beauty and there is something to see at every turn, most have a small charge to enter but it's definitely worth the fee.  Don't ignore the smaller less well known colleges which often offer better value than the ones with Harry Potter connections.","Lots to see and explore","NONE"
"1","2022-10-02","OTHER","5","The University is gorgeous. In every turn you find a photo op. The colleges are great and the staff at the colleges are very friendly. It is a quick train ride from London and the Oxford train station is within walking distance to most places of interest. Make sure you plan your visit, or you will miss out on some things. Christ Church College is one of the popular ones, if not the most popular, and you can book tickets on line. Divinity School is also popular and tickets are hard to get. Most dining halls are closed to visitors during lunch hours, so plan your visit. Accommodations can be costly and availability is limited in Oxford, so look for the surrounding areas and take the train in. We stayed in Reading (nicest train station in the UK) and took the train in (25 min ride). Some colleges offer accommodations when school is out, so check their websites for information. There are so many things to do in Oxford, and we spent 3 days there and did not get to see everything.","Loved This Place","NONE"
"0","2022-09-05","OTHER","5","It's hard not to be impressed by Oxford.  Had a walking tour of the main attraction,  Oxford University (founded in 1069).  It was good to hear about some of the alumni and see the buildings where some of the first Harry Potter movie was filmed.  The city has a great atmosphere though it was very busy, as the visit was during school holidays.","Great Atmosphere","NONE"
"2","2022-07-19","OTHER","5","We loved meandering around the streets of Oxford, marvelling at the architecture.  We were there on a Sunday, so unfortunately many colleges were closed to visitors, but we still absorbed the ambience of the place.  Magic!","Lovely sprawling campus","NONE"
"0","2022-07-09","OTHER","5","The university buildings, some dating back to medieval times, are absolutely stunning - and most of them are in the centre of Oxford, which is quite compact.","Stunning architecture","NONE"
"0","2022-05-30","MOBILE","5","Nice experience walking around Oxford with the University buildings taking up so much prominence in the centre. Also very relaxed ambience amongst the buildings and some nice stops for pictures. Were self exploring but if visiting next time, would go on a walking tour. Good place to appreciate the history of the University. ","Beautiful buildings ","FAMILY"
"0","2022-05-28","MOBILE","5","Phenomenal place-  A treasure trove of history but enormous vibrancy at the same time. Loved it - highlight of UK trip","Excellent","FAMILY"
"1","2022-04-26","OTHER","5","As part of our walking tour we took in a huge amount of the university from Christ Church to the Sheldonian Theatre and the amazing looking Bodleian Library, it really is a beautiful city and with a tour guide so many different stories to be heard.","History around every corner","NONE"
"0","2022-04-18","MOBILE","4","I really envy the students of Oxford. They have the best education in the world in such a historical place. There is no campus, the teaching venues are scattered throughout the city. The city itself is a teaching venue.","The major attraction in Oxford","SOLO"
"1","2022-04-18","MOBILE","5","This is one of the best days out you can do from London. It is only an hour by train from Marylebone or Paddington. The city is small enough to walk about and there is enough to keep you occupied for at least 2 days. Most attractions shut by 5pm so come as early in the day as you can.","One of the best days out from London ","COUPLES"
"2","2022-01-28","MOBILE","5","We spent a cold January day wandering around Oxford between all the colleges, admiring the buildings and reading the odd information board around the city. We went into wherever we could without having to buy tickets, and saw a great deal of the city.
This is a lovely city to walk around, lots of independent shops and watching students coming in and out of their colleges, seeing the courtyards beyond the secret doors leading into their residences. 
I'm sure it would be worth paying for tickets to go into christ church or the bodelian library, but you can see a great deal without!","A great city to walk around","COUPLES"
"0","2021-12-17","MOBILE","4","Immerse yourself in history and knowledge. This gives you a sense that you’re soaking in history. A very beautiful place to visit.","Worth a visit","SOLO"
"1","2021-11-07","OTHER","4","We did a two hour walking tour, mainly of parts of the campus and found the history and architecture to be memorable!  Highly recommend a visit.  Though I'm also not sure that we feel the need to return, now that we've been.  ","Beautiful","NONE"
"0","2021-10-24","OTHER","5","Amazing place a must for all tourists. Find a long stay car park and explore.. take the time to follow every road.","fantastic","NONE"
"0","2021-10-17","MOBILE","5","The Oxford university is very spread out across Oxford. The buildings are all fantastic and the architecture is excellent as are the figures and carvings.","Great university","COUPLES"
"1","2021-10-06","OTHER","5","Went round the university and it is a very interesting place to visit if just to see the beauty of the magnificent buildings ","Great visit","NONE"
"0","2021-09-07","OTHER","5","it is an amzing historic place to visit, there is a feeling about it that you are standing somewhere special, well worth coming.","Very impressive","NONE"
"1","2021-08-10","OTHER","5","This is the reason your probably inOxford, but there is so much to see and do. try looking into visiting the various colleges and libraries.","very interesting and spread out","NONE"
"1","2021-06-27","MOBILE","5","There is so much to take in on a trip to Oxford that you need at least 2 or 3 full days to see it all but you can get a great taster in a day. There are several must do sites including the Ashmolean, the Bodleian and the Pitt Rivers. I would also recommend the Botanic Gardens, Worcester College gardens and a walk along the canal and Thames. The best thing about Oxford is it is a world away from London but only 50 minutes by train.","Perhaps the best day trip you can take from London","COUPLES"
"0","2021-06-15","OTHER","5","Came across this building by accident. Beautiful characher great location.  Nice coffee houses nearby","Great looking building","NONE"
"0","2021-05-04","OTHER","5","Great architecture and history abound. Lots of fantastic buildings to be viewed. Beautiful grounds. If you google there is loads of history to be read about the university and the stats make for interesting reading. ","Worth a visit","NONE"
"1","2021-04-25","MOBILE","5","The most beautiful campus I’ve ever seen. While walking downtown be careful not to walk onto the street accidentally, you will be so enamoured with the architecture you won’t be able to look away! I highly recommend taking a guided tour, the history of the town and its relation to the university is incredibly interesting.","MOST BREATHTAKING ARCHITECTURE","SOLO"
"3","2020-10-11","MOBILE","5","This place is absolutely amazing in every way from a stunning architecture to the immense feeling of knowledge and history. 
Everyone in this beautiful city is so nice and extremely warm and welcoming.

The architecture of these traditional buildings is absolutely amazing! It makes me almost wish to go back to my college times. 
This is a truly beautiful place to visit. ","University of Oxford ","SOLO"
"0","2020-09-17","MOBILE","5","A look round Magdalene College, grounds and buildings. Chapel is beautiful, buildings magnificent.  Lovely grounds including a 200+ year old Plane tree. Well worth a visit! ","Fabulous place... ","COUPLES"
"0","2020-09-14","OTHER","5","An amazing building, full of history and architecture, and so photogenic. Well worth a visit, if your in the area.","Amazing Building","NONE"
"2","2020-04-07","OTHER","5","The place is amazing. Lots of photo opportunities for history lovers.  I had to be very patient though as there were many tourists there.","Fantastic place","NONE"
"0","2020-03-07","MOBILE","5","Pick a sunny evening and soak up the history in the buildings streets and gardens all around Oxford university","It's all around you","SOLO"
"4","2020-03-01","OTHER","5","Oxford University is spread throughout the city in lots of great buildings with similar and stunning architecture, plan your trip to take in several and be impressed, Magdalen college my favourite.","So many amazing buildings","NONE"
"0","2020-02-29","MOBILE","5","Stunning with 35 or more Colleges and some remarkable buildings Oxford really deserve their best in the World university title Town and Gown make Oxford a great place to visit ","NO 1 UNIVERSITY ","COUPLES"
"4","2020-02-16","MOBILE","5","Oxford must be preening itself on being named the No.1 University in the World, well above U.S Ivy League colleges, in the World University Rankings 2020 for the second time in a row.
This is one accolade that both the 
‘Town’ (City) and ‘Gown’ (University) traditionally seen to be having a rivalry, will be seen in agreement.
The history of this University town and its colleges are well documented in books,films and guides and it is a must for every tourist who visits England.
Each college boasts of its age, ancestry and beauty and no one can argue that this does not hold merit. The numerous photographs of Oxford vistas and colleges particularly the striking dome of Radcliffe Camera, the Magdalen Deer Park, Christ Church meadows, Balliol Chapel ,
Hertford Bridge, Bodleian Library and the adjacent Sheldonian Theatre etc. The list could go on and this ‘city of dreaming spires’
had an ethereal feel to it.
The narrative of famous people who went to Oxford in the 19th and 20th centuries is endless - Stephen Hawking,WH Auden,Albert Einstein,TE Lawrence,VS Naipaul,Roger Bannister,Margaret Thatcher,Adam Smith,JRR Tolkien . A Google search will provide more background and claims to fame. We can perhaps spot their ghosts  frequenting  favourite haunts !
Cambridge ‘the other University’ has its own story to tell but the former made many an Oxford man and woman to leave their stamp on the world.

","Dark Blue Memories","COUPLES"
"2","2020-02-12","OTHER","5","It is one of the oldest modern universities in the world with some 40 different colleges with multiple faculties. Student from all over the world come here for higher education. The sense of history & the prestige of this university makes it one of the top university town in the world. Good weather, nice faculty buildings, private houses, roads lined with shops & eateries make it an attractive location & must visit for all. The university itself is like a museum with many historical buildings, halls, libraries.","Famous seat of Education/research/publication","NONE"
"0","2020-02-01","OTHER","5","As one of the oldest universities in the world, and with nearly 40 individual colleges, the sense of history is amazing. Most of the colleges are open to the public to stroll around the grounds and take in the beautiful architecture. Some good ones to visit are Balliol, Magdalen and Trinity Colleges and for a great view of All Souls climb to the top of the tower of St Mary the Virgin church. The absolute best is probably Christ Church College. The Great Hall is just stunning and was the inspiration for the one seen in the Harry Potter films!","Amazing architecture and history","NONE"
"0","2020-01-13","MOBILE","5","With more than 30 colleges, the Bodleian library, faculty and administration buildings, museums, parks and gardens, the University of Oxford has a large presence in the city. The architecture is stunning and a wander around the highlights will prove a delight. If you’re short of time, consider a guided walk, but be careful to choose a legitimate tour guide.

","Picturesque and impressive","COUPLES"
"1","2019-12-31","OTHER","4","I love Harry Potter but I love Inspector Morse even more. You can stand in the same place where it was filmed and see a tribute to the series in the Randolph Hotel. ","If you love Inspector Morse this is the place","NONE"
"0","2019-12-15","MOBILE","5","Beautiful university, with every one of its colleges having a remarcable architectural style. The trademark of Oxford.","Beautiful architecture","SOLO"
"0","2019-12-01","MOBILE","4","The University of Oxford comprised numerous  colleges spreaded across the city centre.  It is one of the leading and oldest universities in the world. Do spend time visiting some of the colleges when you are in Oxford. ","Do spend time visiting some of the colleges when you are in Oxford","FAMILY"
"0","2019-11-27","OTHER","5","Oxford is a must see. The cluster of colleges are magnificent. The architecture alone is breathtaking.  This quaint town is so inviting. We loved our walking tour and loved the history. Everything along the main streets were in pristine condition. The shops were lovely. We stayed in the Old Parsonage Hotel and it was so cozy and inviting. We also ate at Brown's in town and the food and service were wonderful. We will return for sure.","Mr. Chips meets Harry Potter","NONE"
"6","2019-11-14","MOBILE","5","The old buildings of the university spread across the city are beautiful. All that are old and pretty are within walking distance","Really picturesque","SOLO"
"0","2019-11-13","OTHER","5","I could have stayed here all day and kept on looking at the historical grounds and buildings - Wish I had more time!","Loved the view","NONE"
"1","2019-10-16","OTHER","5","I expected a large university campus with magnificent old buildings.I did not know that Oxford was actually 39 colleges.  There is still plenty of old magnificent buildings but there is also plenty of tourist stores and t-shirt shops. We did not go into any buildings or tours just walked around.  Pay parking.  Now I can tell people, ""I went to Oxford.""","Worth seeing old magnificent buildings","NONE"
"0","2019-10-13","MOBILE","5","This was my second time here, the first time was just a short stop, so I made sure this time I had 2-3 hours to walk around the campus. It’s totally worth it. We visited the site where “Harry Potter” was filmed, and the admission fee was required. ","Beautiful campus","BUSINESS"
"0","2019-10-12","MOBILE","5","Absolutely would recommend doing a walking tour. A great one with a tour company ‘footprints’ which we loved and enjoyed. 

The info and history is incredible. ","Not to be missed ","COUPLES"
"0","2019-10-06","MOBILE","5","A walking tour is a good idea as so much of the Oxford experience takes place behind the walls of the Colleges.","Lovely experience ","FAMILY"
"0","2019-10-05","OTHER","5","What an absolute treat Oxford is with its array of quality architecture.  You get the feeling that Oxonians are proud of their city as it is very clean and the University buildings are maintained to a high standard. The modern additions seem to fit in well with the past and the Rivers Thames & Cherwell add an extra dimension to this wonderful town. A very easy place to walk around and definitely worth a visit for a couple of days.","One of England's greatest towns","NONE"
"1","2019-10-02","OTHER","5","The weather was perfect and the town was beautiful. I did a oxford walking tour and it was just an amazing experience. I did a day trip to Oxford from London by myself since my husband was working, but I did not feel like it was much. Train ride was great looking at scenery and people were so nice in town and willing to help you if you need.","Beautiful university town","NONE"
"0","2019-09-30","OTHER","4","Temporary gallery not so good. ccc Temporary gallery not so good.fffff Temporary gallery not so good.xxx emporary gallery not so good. Temporary gallery not so good.","Oxford","NONE"
"0","2019-09-29","MOBILE","2","Oxford seemed quite picturesque and the university buildings looked stunning but this is a city where old and new just don't gel well.
Also parking is horrendous, bikes everywhere. Not great when you just want to have a quick hour browsing round.","A quick drop by","COUPLES"
"1","2019-09-27","MOBILE","4","It was great to walk around and enjoy all of the buildings. It was busy so all enough time.
You can not get access all parts of the Uni as a tourist but there are plenty of things to see and do","Lots to see and do","COUPLES"
"0","2019-09-21","OTHER","5","It's a treat to be at Oxford University... with history all around, there is so much to see and know. One really appreciates that how buildings that are hundreds of years old are not only kept in a very well preserved shape but are actually being used for daily routine activities. Very impressive.","History all around...","NONE"
"1","2019-09-19","OTHER","5","During my families recent vacation to London we took a day tour that included touring Oxford. It was the part of the tour that I was looking forward to the most, and I was not disappointed. 
If you have a love of history and architecture, then you should definitely visit Oxford. The beauty of the place is in all of the little details everywhere you look. Hidden symbols, finishing touches that are art pieces on their own, and the unique designs.  If you want to learn about what makes the places unique, then I definitely recommend going with a tour. I am so glad we did. While I would love to have had more time there, I feel like having a tour guide really made the place come alive.","So Much Beautiful Detail","NONE"
"2","2019-09-16","MOBILE","5","Beautiful buildings, lovely grounds and history of the university very interesting. The Harry Potter connection was good fun and it was great to visit the cluster where filming took place. Worth setting aside a day to explore. ","As Expected","COUPLES"
"0","2019-09-15","MOBILE","5","Just returned from a weekend away with friends to this very ancient city. The buildings and architecture are amazing. The bridge of seize is such a lovely place. It was graduation day on sat for many academics, all in their mortar cap and gowns and with proud families and friends. Such a lovely sight to see in this very old academic town. My husband and i love watching tv series Morse, Lewis and Endeavour and it was great walking around the university buildings which were filmed for these tv series. Would also recommend going on morse tour, where plenty of information is given and follow in their footsteps, including some of the very many pubs they would visit. 
We even managed to drive and visited the Trout pub but this was in small village of Wolvecote. The one on the river overlooking the rugged bridge, if your a fan you will know the pub. 
Would definitely recommend a visit to Oxford town and University buildings.","Such an iconic place","FRIENDS"
"0","2019-09-09","OTHER","5","Used the Hop On - Hop Off bus to see the sights and to get around the city. Really nice place with so much interesting architecture and a lot of the colleges were open to visitors","Short Break to Oxford City","NONE"
"1","2019-08-30","OTHER","5","This is a tour not to be missed! Oxford University is breathtaking, and having a tour guide (our guide was Trevor) who studied at the university was really helpful. While you can always visit on your own, you'll get more history and insight of the university life if you do the tour with a guide.","Exceptional Oxford Tour","NONE"
"3","2019-08-25","OTHER","5","I was based in Oxford, but if you stay in London, you can get a round trip 24 hourly Oxford Tube bus ticket to get to Oxford and explore it in a day. One way 9 GBP, round trip 15 GBP.","Day Trip","NONE"
"3","2019-08-24","OTHER","4","We took the train from London to Oxford (about an hour's ride) to pick up our son who was finishing a summer course at Oxford.   The train station is about a 10 to 15 minute walk from the center of town.  Oxford is made of several separate colleges. Most of these are not open to the public. We were able to tour the College he was living in and visit the Bodlean library (sign up for a tour), the Natural Science Museum and the Ashmolean.  The history of the University and the architecture are fascinating.","Day visit to Oxford","NONE"
"1","2019-08-24","OTHER","5","The university buildings are very well kept and look fabulous, it was interesting to wander around to just experience the atmosphere.  It was a sunny day when I went so the buildings probably looked at their best, it was amazing to walk around the small lanes and to come across yet more beautiful architecture.","Lovely old buildings","NONE"
"1","2019-08-24","MOBILE","5","You can be in Oxford in about 1 hour from Paddington or Marylebone and there is enough to do for at least 2 or 3 full days so you need to decide what to do before you arrive. The station is only a short walk from the centre and from the centre all the main attractions are within a 10 minute walk. All in all because of the variety of attractions, their uniqueness and history plus its accessibility from London I would rate Oxford as the best day trip you can do.","Best day trip from London","COUPLES"
"1","2019-08-22","OTHER","5","We walked around here ourselves and it’s beautiful,
If you can take a camera take one as I feel my phone did not do the pictures justice.
We did not book a tour but on hindsight 
We should have. If you’re in Oxford this is a must !","Amazing ....","COUPLES"
"2","2019-08-14","MOBILE","5","The university buildings were very nice.  It is an easy place to walk around.  We had trouble finding parking
But we eventually found parking","Very nice to walk around and see the sites","COUPLES"
"4","2019-08-12","MOBILE","5","Oxford is a magical city. History is brought to life here and knowledge becomes a craving. Seeing all the beautiful buildings & their “dreaming spires” is so inspiring! I spent 3 weeks here and it hardly seemed like enough. There is so much more to do and see than you would expect. I would love to come again and I would recommend it to everyone, it’s definitely worth seeing! ","Incredible!","FRIENDS"
"3","2019-08-10","MOBILE","5","A wonderful phrase to describe a magical institution with its history stretching back deep into mediaeval times and its glorious architecture, which does indeed seem to have towers and spires wherever you look. The core of the university are the many colleges, most of which can be visited by the public usually for a fee. The best time would be early September when the colleges actually welcome visitors in the run up to the start of the academic year. As well as the colleges, there are other outstanding university buildings and facilities to see, notably the Bodleian Library, the Radcliffe Camera, the Sheldonian Theatre and the Parks, as well as the University Church. A wonderful place to visit and explore.","Dreaming spires","SOLO"
"1","2019-08-04","OTHER","4","If you ask anyone around the world to name at least one well-known university, chances are they say Oxford (or Cambridge). This is a little legendary place and the place for the start of many famous personalities' careers - but also just as much a typical English idyllic little town that in recent years has also been characterized by a certain Harry Potter ... More British than this can hardly be ! We recommend that you take a small guided tour, as there are many lovely stories you might otherwise miss.","A legendary university and one of the oldest in the world - very impressive!","COUPLES"
"2","2019-08-02","MOBILE","5","How can you not love being here!  Wonderful old buildings with so much going on.  We were here visiting a granddaughter doing a summer program. This has been the best experience for her.","Wonderful ","COUPLES"
"1","2019-08-02","OTHER","4","- We were on a day trip to Oxford and thoroughly enjoyed the long walk taking us through the various colleges
- Beautiful Gardens
- Exquisite architecture.","Thoroughly enjoyed","COUPLES"
"3","2019-07-17","OTHER","3","Visiting Oxford, stopped off to see parts of the university.
Its a University set in a city - nice buildings, but still only a university!
Visit if you want to, but i really can't see what all the fuss is about!","Its a University set in a city - nice buildings, but still only a university!","FRIENDS"
"4","2019-07-12","MOBILE","5","A day spent in Oxford will definitely excite you. Me and my family enjoyed the walk and the experience thoroughly.","Worth visiting ","FAMILY"
"4","2019-07-10","OTHER","5","We were pleased to do a walking tour of the colleges at Oxford, as we received so much information we wouldn't have known. All kinds of Harry Potter references now that my kids enjoyed.  Beautiful campus.","Beautiful buildings, worth a tour","FAMILY"
"1","2019-07-09","MOBILE","5","The University of Oxford is a collegiate research university in Oxford, England. 
Here teaching started as early as 1096, 
making it the oldest university in the English-speaking world 

University Motto in English: The Lord is my light
The campus is huge and filled with historic events., and guide is needed for professional tour.","Huge campus with historic events.","FAMILY"
"2","2019-07-08","OTHER","4","Took the train from London, about an hour to get here.  You can walk the town in about a half day at a leisurely pace, including the university grounds.  The place oozes with history and makes for a fascinating visit.  Worth the trip.","Very Harry Potteresque","COUPLES"
"1","2019-07-06","OTHER","5","What a lovely place.  It would take more than a few days to really do it justice.  We stayed for four days but were pretty busy with the event that took us there.  However, we were able to see several of the colleges.  Our hotel was opposite Examination Hall, so we witnessed some of the traditions with different colored flowers in the lapels and how students taking their last exams are celebrated.  I definitely want to go back and really soak in the atmosphere.","Beautiful university steeped in tradition.","FRIENDS"
"0","2019-07-03","OTHER","5","Amazing place.Easily accessible from Birmingham and london.The universityis brilliant, there are approx 30 collages each one unique and having something different to offer.The grounds are stunning and every student i spoke to very well informed and polite.The architecture is lovely and i don't have anything negative to say","Amazing","FAMILY"
"0","2019-07-03","MOBILE","5","We visited Oxford as a study abroad trip. Aside from being beautiful, the University is structured is such an interesting way. Also, any staff or student that we reached out to was so accommodating, knowledgeable, and kind. The traditions of the institution are visible to outsiders and it was such an amazing thing to witness. ","Study Abroad","FRIENDS"
"0","2019-06-25","OTHER","5","I've been a student here all summer and I would recommend the city to anyone over and over again. There are gardens and architecture sprouting all over the place.","So many free beautiful landscapes to visit!","SOLO"
